"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000276980.1",51.2543776651074,1.2305542250597,0.206699858842589,5.95333848774817,2.62727125802975e-09,7.61159342132623e-09
"ENSG00000277007.1",24.5273511243467,-0.480563640955419,0.0995057560035239,-4.82950595278529,1.36872222908664e-06,3.09787599459154e-06
"ENSG00000277013.1",28.5825416163487,1.51339116166917,0.156320140742657,9.68135746602609,3.61878712219989e-22,2.67212917222074e-21
"ENSG00000277020.4",30.7453724349231,-0.716091892940971,0.102161213937657,-7.00943014809865,2.39290721095329e-12,8.88180611832734e-12
"ENSG00000277022.1",9.61308561536883,-0.562318433137686,0.116449011722196,-4.82888111132423,1.37302348545918e-06,3.10699853678526e-06
"ENSG00000277050.1",21.5534918935485,-0.416730881251122,0.105529931377935,-3.94893539500826,7.84995322077473e-05,0.000149466182374824
"ENSG00000277051.1",7.72163504428313,0.606220044258822,0.0817890751548582,7.41199289894175,1.24415421200187e-13,5.09218189426401e-13
"ENSG00000277053.4",160.684063226501,-0.0694822826446169,0.0569357198702658,-1.22036364522904,0.222327052542943,0.263326279143954
"ENSG00000277072.5",235.695256010937,0.241923884403883,0.0564397702451996,4.28640803023928,1.81585328310391e-05,3.68711691316261e-05
"ENSG00000277075.2",39.8338867668307,0.43975569137031,0.138551493025383,3.17395129975066,0.00150378919981487,0.00248470481215992
"ENSG00000277087.1",6.13767982683977,-0.994384461893838,0.132027007146549,-7.53167464282575,5.00936528872744e-14,2.10699888115273e-13
"ENSG00000277117.5",56.4999808515709,0.802005009506147,0.162018378801071,4.95008662252362,7.41804577568667e-07,1.71946765824353e-06
"ENSG00000277130.1",8.06425776991097,0.0272363432037267,0.0930921859168342,0.292573892593507,0.769847871649314,0.799050438079994
"ENSG00000277142.1",83.7781607681648,-0.814756344248243,0.0754877939155953,-10.7932196979984,3.70574753341317e-27,3.71172976110673e-26
"ENSG00000277147.6",475.363922993618,-0.358964477042716,0.0589888099900975,-6.0852978234851,1.16274966010515e-09,3.46620490157563e-09
"ENSG00000277149.5",204.760938818115,0.179240977176708,0.103880796758802,1.72544861773523,0.0844466560798073,0.108601304331642
"ENSG00000277151.1",31.9715850835851,-0.330465020611989,0.0726164398741653,-4.55082927756637,5.34348924494706e-06,1.14335429766287e-05
"ENSG00000277159.1",63.3780820263274,0.474352143091115,0.111257174930016,4.26356451518292,2.01191375610363e-05,4.06401267917915e-05
"ENSG00000277161.2",423.38171965302,0.295033869809987,0.0555837861782185,5.30791243446459,1.10887887446562e-07,2.77243871935388e-07
"ENSG00000277182.1",78.656444692487,-0.701216564030581,0.0846179887199796,-8.28684981335432,1.16287324061067e-16,5.88278558499318e-16
"ENSG00000277186.1",7.54716431455335,-0.203947458322825,0.138308971818635,-1.47457865994595,0.140325855652833,0.173383243714859
"ENSG00000277200.1",1168.51837979399,-1.40153761667196,0.12184774845884,-11.5023677860195,1.28345495703002e-30,1.56060780977427e-29
"ENSG00000277203.1",316.444877899768,0.0626282614874698,0.0685992403783048,0.91295852755939,0.361264353800569,0.409012465857852
"ENSG00000277215.2",37.4305197630181,0.173353041437868,0.0998402856569904,1.73630354017052,0.0825101776060893,0.10630148421926
"ENSG00000277218.1",9.23594799460705,-0.585969301930846,0.124687530075392,-4.69950203983142,2.60796617540686e-06,5.7668155932205e-06
"ENSG00000277224.2",10.8992323200969,-0.811496776688202,0.171969182341026,-4.71885000347884,2.37181616202829e-06,5.2618654456594e-06
"ENSG00000277232.2",80.57902137083,-0.807017499889386,0.0739917059021858,-10.9068643579624,1.06879546763801e-27,1.10873644602647e-26
"ENSG00000277245.1",37.6287808740064,-0.449907586683831,0.12121590238882,-3.71162180718401,0.000205935525146529,0.000375360210463586
"ENSG00000277258.5",1335.09060286696,-0.760041738268637,0.064768014907938,-11.7348314495815,8.44944780890835e-32,1.09158116684923e-30
"ENSG00000277270.2",65.6823248997742,1.12527545359648,0.135665444461845,8.29448838693006,1.090535309881e-16,5.5314668822223e-16
"ENSG00000277283.1",350.686847832723,-0.295894486355723,0.059795519586884,-4.94843908707546,7.48109943229707e-07,1.73355808688043e-06
"ENSG00000277287.1",23.6105171653762,0.815974597654115,0.124456520309453,6.55630251934772,5.51582799556875e-11,1.83251611134981e-10
"ENSG00000277290.1",19.7313236734619,0.186240998156323,0.113907194552817,1.63502401132323,0.102044014190573,0.129326732570001
"ENSG00000277310.1",13.1369652264219,0.613036310155493,0.0957977862494002,6.39927428551963,1.56117176669211e-10,4.9978831750036e-10
"ENSG00000277342.1",17.4633811153856,0.05882952649513,0.106542663090276,0.552168725548772,0.580832759334329,0.623967134115029
"ENSG00000277351.1",97.2096157836231,0.337906689789514,0.159537219103654,2.11804299766546,0.0341714263623143,0.0469266875037178
"ENSG00000277363.5",3765.88894176755,0.116346985712253,0.13672087787929,0.850981850884359,0.394779434645288,0.443046122465383
"ENSG00000277368.1",8.03725583554384,-0.0080567002267056,0.116540663339727,-0.0691320951487939,0.944884473899004,0.953901181499535
"ENSG00000277369.1",28.3886684584357,-0.143294153686272,0.0771819559626439,-1.85657582655235,0.0633715257817156,0.0832848704700507
"ENSG00000277383.1",13.1946468845063,-0.0108948669427831,0.127729031067318,-0.085296716429651,0.932025501930767,0.942992924099807
"ENSG00000277399.5",301.871460731065,-1.12807877233896,0.136985951825292,-8.23499605111097,1.79563559432736e-16,8.96334123482784e-16
"ENSG00000277406.2",22.1375903230232,0.293037885820979,0.0956020499914244,3.06518412363819,0.00217536030378116,0.00352085071164016
"ENSG00000277423.1",9.49447015279344,0.019200949538964,0.0805736862962854,0.238302979813512,0.811646110359316,0.83642141022215
"ENSG00000277425.1",10.7219126468894,-0.597538120739254,0.0915806238925012,-6.52472210104896,6.81277289078773e-11,2.24552515798728e-10
"ENSG00000277435.1",7.53841057543302,-0.0251452298385728,0.121082211760149,-0.207670717878717,0.835486082948464,0.858100125547955
"ENSG00000277443.3",49078.3867117705,-0.854273997883834,0.0644429202433535,-13.2562893589842,4.14923787285326e-40,8.32640330831226e-39
"ENSG00000277449.1",94.1348700535678,0.173908519233257,0.0961708827134544,1.80832820003769,0.0705554353811975,0.0919993825994633
"ENSG00000277450.1",7.8979166614776,-0.720972347204623,0.108751320760773,-6.62955026349144,3.36711168134481e-11,1.14010004231022e-10
"ENSG00000277459.1",10.5194336164723,0.968853825442407,0.157522981232049,6.15055541651522,7.72120738917663e-10,2.33077919833436e-09
"ENSG00000277462.2",332.7411863713,-0.37766052856849,0.0538934312537926,-7.00754284487894,2.42539760121181e-12,8.99803696364245e-12
"ENSG00000277476.1",231.151863638549,-0.0103993725369518,0.0685895615977333,-0.151617422457698,0.87948869114243,0.896490572080095
"ENSG00000277481.1",8.08068030684692,0.574332995711811,0.104310600257802,5.50598879013596,3.67101889745839e-08,9.58112560583815e-08
"ENSG00000277491.1",11.1098353873243,-0.46253048506405,0.0779761898080209,-5.93168871424483,2.99834676094504e-09,8.62893902356968e-09
"ENSG00000277494.2",1010.04305156107,-0.529540970861785,0.140826202923363,-3.76024461264469,0.000169747291876569,0.000312150639186992
"ENSG00000277496.1",17.6720760240369,1.15145460320766,0.113162893288024,10.1751958592731,2.55884688315681e-24,2.15177464822824e-23
"ENSG00000277504.1",16.6328729420784,-1.39754429951153,0.104710103493143,-13.3467951314082,1.23655459756396e-40,2.54141306143919e-39
"ENSG00000277511.1",75.5770517324823,0.0325630542687491,0.0848730287442081,0.383667871296172,0.701224628477832,0.737189806107322
"ENSG00000277531.2",1267.14135716179,0.388375179107983,0.0945661348054562,4.10691607420519,4.00976839197112e-05,7.85965274713806e-05
"ENSG00000277534.1",114.79354333182,0.175458230268586,0.0757993604803175,2.31477190779394,0.0206254180957977,0.0292625748238816
"ENSG00000277548.1",5.4119691919186,0.155813949640856,0.0900721364505424,1.72987958075594,0.0836517922023063,0.107663519290707
"ENSG00000277559.1",20.5587801599261,0.680729495031012,0.150521489298641,4.52247382219568,6.11210477772815e-06,1.30078417894044e-05
"ENSG00000277561.5",11.6998435186298,0.488258808431115,0.153527572866291,3.18026787837222,0.00147138966456579,0.00243309749545753
"ENSG00000277566.1",5.90254719726511,-0.13679028969653,0.135533205944638,-1.00927509788565,0.312842719376434,0.359204276719256
"ENSG00000277586.4",6262.50967649122,0.316874950894368,0.266974413719183,1.18691130914018,0.235262606005021,0.277325989527973
"ENSG00000277587.1",47.0683916227313,0.116098073320926,0.172459795303034,0.673189209791925,0.500826924948222,0.547421021570077
"ENSG00000277632.2",308.881999188021,-0.480509008469766,0.208894614982728,-2.30024602840765,0.0214342854744306,0.0303333061050735
"ENSG00000277639.2",35.6529878803248,2.7118171474834,0.156529884798047,17.3245968396524,3.06838179857116e-67,1.93518793818126e-65
"ENSG00000277654.6",9.92019176197535,-0.682224396489424,0.125830093772806,-5.42179041621968,5.90050386016439e-08,1.51383400891589e-07
"ENSG00000277662.1",14.7352192991697,0.018512483704138,0.0806199193223661,0.229626671171849,0.818381880007241,0.842719692263669
"ENSG00000277687.1",35.153412536865,-0.676721845094038,0.0914536899871994,-7.39961225390422,1.36582722136503e-13,5.57229349935613e-13
"ENSG00000277692.1",17.1766089844491,-0.0965674922995951,0.109240826779181,-0.883987197339653,0.376703124008493,0.424836589598299
"ENSG00000277715.1",133.34805397016,-0.252434830690775,0.0772245204293823,-3.26884296965772,0.00107988214568602,0.00181285955528438
"ENSG00000277728.1",7.08640745551434,0.137238831858447,0.0939763009105193,1.46035575489528,0.144192326108178,0.177730106333715
"ENSG00000277734.8",95.855759849753,2.05501203983571,0.166027501755689,12.3775399744296,3.45779610806439e-35,5.30974081958757e-34
"ENSG00000277744.1",42.0199612023694,0.208119300710674,0.12368893478233,1.68260241772577,0.0924520833524953,0.117984461477749
"ENSG00000277758.5",179.611616174193,-0.794758500023209,0.101485826555547,-7.8312265564316,4.83133165488787e-15,2.18289472153633e-14
"ENSG00000277763.1",17.2058625406768,0.0201578138776813,0.0802226077736665,0.251273480594808,0.801602676966914,0.827743462357388
"ENSG00000277767.1",69.9702979402353,-0.646248805488921,0.10151968437328,-6.36574876565532,1.94339314045417e-10,6.17843461091351e-10
"ENSG00000277778.2",53.9461155130424,0.148039759930822,0.0934759669691012,1.5837200162878,0.113257447721643,0.142343765868047
"ENSG00000277782.1",50.8483411916807,0.41376767913685,0.0743578002134118,5.56454975737999,2.62830128521647e-08,6.93858240624592e-08
"ENSG00000277791.5",3972.78984754245,0.0747632668200355,0.0547518908609187,1.3654919609982,0.172098478050761,0.208543930356892
"ENSG00000277795.1",21.8840390098276,-0.51971302853081,0.118427640491561,-4.38844366377327,1.14164698376958e-05,2.36456061046538e-05
"ENSG00000277806.1",77.5036357940315,0.154490759075102,0.0713541833427082,2.16512546059277,0.0303780786558836,0.0420392761289481
"ENSG00000277829.1",49.1820561856354,-0.488626659810248,0.0977578945182501,-4.99833453060947,5.78275989722591e-07,1.35436460886161e-06
"ENSG00000277831.1",64.1707644257622,-1.26050602093076,0.101423348171929,-12.4281641619048,1.83807140557631e-35,2.88425189732163e-34
"ENSG00000277851.2",27.7063044346491,-0.534711947007434,0.110615934996883,-4.83395043419833,1.33849926233675e-06,3.03216178857951e-06
"ENSG00000277855.1",8.57946136063879,-0.0648800214880766,0.144792928370163,-0.448088330130397,0.654089449861048,0.693288309730831
"ENSG00000277873.1",14.6209426182098,0.373626017203385,0.0801939845099406,4.65902797431236,3.17706029760648e-06,6.96749840009094e-06
"ENSG00000277879.1",61.6904820883429,-0.0214769946655183,0.0671263724854118,-0.319948685893697,0.749007230098139,0.780205952237533
"ENSG00000277938.1",117.200933589792,-0.626537656353272,0.0831394384367244,-7.53598614729778,4.84658036645455e-14,2.04039877998711e-13
"ENSG00000277954.1",197.149094146523,0.803631756531206,0.120295454568687,6.6804831438776,2.38155774936465e-11,8.19322961968594e-11
"ENSG00000277959.1",16.3321428600514,-0.388957837369415,0.0902240989064673,-4.31101936271634,1.62503673567763e-05,3.31874106760532e-05
"ENSG00000277969.1",192.981955745178,-0.243688549751521,0.0571771125884206,-4.26199468143259,2.02610266571089e-05,4.09087413339708e-05
"ENSG00000277972.2",842.977374580864,0.178643997612936,0.0598755268832675,2.9835895717664,0.00284888635681624,0.0045430594674514
"ENSG00000277977.1",43.8883732055991,0.180287173730256,0.081249663008084,2.21892826450638,0.0264916052569655,0.0370314669600047
"ENSG00000277978.1",22.4491300333113,-0.00344073404332595,0.0853249600382506,-0.0403250589485596,0.967833975871923,0.973175269768811
"ENSG00000277998.1",9.77968182635603,-0.979970520063684,0.117514903090383,-8.33911694851138,7.48473606469576e-17,3.83713903164851e-16
"ENSG00000278000.1",29.0455201799003,0.369050775161128,0.109324045764643,3.37575116782301,0.000736144649858532,0.00125938391286998
"ENSG00000278002.1",5.55663766012652,-0.547794336144765,0.115142370424733,-4.75753915890457,1.95967250093809e-06,4.38011893720531e-06
"ENSG00000278017.1",15.9544079739172,-0.341791445234022,0.120784315718686,-2.82976678884431,0.00465819449415362,0.00722408775263695
"ENSG00000278041.1",410.48766435906,-0.825298720335126,0.124389434289776,-6.63479760196128,3.24948105389179e-11,1.10187558324555e-10
"ENSG00000278052.1",10.6384388118238,-1.96324088924606,0.134204616456558,-14.6287135352126,1.84237858200363e-48,5.34709040544341e-47
"ENSG00000278053.5",1527.45153286342,-0.23554298121562,0.0376158699044981,-6.26179806059607,3.80563566757727e-10,1.18221891773439e-09
"ENSG00000278058.1",74.9460345448973,0.247544678276116,0.0963608079595458,2.56893527065527,0.0102011510209541,0.0151391702106176
"ENSG00000278075.1",10.9102175246559,-0.0980434069318233,0.0948740055211568,-1.03340642564058,0.301413740679187,0.347314924698695
"ENSG00000278107.1",61.2836359874129,0.310476934215193,0.0788030146623791,3.93991188719607,8.15115419320572e-05,0.000154918492270406
"ENSG00000278112.1",10.1342592927672,0.387673281641074,0.0970920372797956,3.99284320838684,6.52857395168657e-05,0.000125346217453265
"ENSG00000278126.1",201.160474288003,-0.5739227614858,0.0767822013081083,-7.47468491014979,7.73890572299778e-14,3.21618498701774e-13
"ENSG00000278129.2",845.464869796689,-0.0118803136731678,0.0571973915436945,-0.207707263435119,0.835457545965559,0.858100125547955
